Companies,Ticker,mktcapUSD
24SevenOffice Group,719.F,92124872.23
"2U, Inc",TWOU,967363456
Absolute Software Corp,ABST,418882144
Accenture,ACN,2.17E+11
"ACI Worldwide, Inc",ACIW,3068756992
"Activision Blizzard, Inc",ATVI,62428205056
adesso,ADN1.DE,1325459826
"Adobe, Inc",ADBE,2.14E+11
Adyen,ADYEY,58787532800
"Affirm Holdings, Inc",AFRM,11008485376
Akamai Technologies Inc,AKAM,19201923072
Alibaba Group Holding Ltd,AHLA.DE,3.02E+11
"Alight, Inc",ALIT,4721287168
Alliance Data Systems Corp,ADS,2837052160
Amadeus IT Group,AMS.MC,28356980391
Amdocs Ltd,DOX,10217411584
Andes Technology Corp,6533.TW,692299852.1
Ansys Inc,ANSS,27074686976
Appen Ltd,APPEF,665039744
Aptitude Software Group,APTD.L,239455384.5
Arco Platform Ltd,ARCE,1261532544
AsiaInfo Technologies Ltd,1675.HK,1607619741
Aspen Technology Inc,AZPN,11185884160
Aspire Global,ASPIRE.ST,534870509.6
Atea,ATEA.OL,1609010347
Atlassian Corp,TEAM,74264092672
Atos,ATO.PA,2723247161
Autodesk Inc,ADSK,44498161664
Automatic Data Processing Inc,ADP,1.00E+11
Avast,AVST.L,7671549876
AVEVA Group,AVV.L,9598253330
Axway Software,AXW.PA,393724975
Azeus Systems Holdings Ltd,BBW.SI,135623076.9
BAIOO Family Interactive Ltd,2110.HK,38062031.06
BANDAI NAMCO Holdings Inc,7832.T,16675280943
"Bandwidth, Inc",BAND,818333312
Baozun Inc,BZUN,613530496
Basware,BAS1V.HE,334592594.5
Bechtle,BC8.DE,6793611933
"Benefitfocus, Inc",BNFT,416612576
Better Collective,BETCO.ST,1039540753
"Bilibili, Inc",BILI,10572283904
BIMobject,BIM.ST,70320004.34
Bittium,BITTI,232646427.8
"Black Knight, Inc",BKI,10590300160
"Blackbaud, Inc",BLKB,3093598208
BlackBerry Ltd,BB,3920364544
"BlackLine, Inc",BL,4200880640
"Block, Inc",SQ,73046704128
Booking Holdings Inc,BKNG,90492657664
Booz Allen Hamilton Holding Corp,BAH,11907935232
BrainChip Holdings Ltd,BRN.AX,1222175253
"BTRS Holdings, Inc",BTRS,1205245440
Bytes Technology Group,BYIT.L,1572875501
Cadence Design Systems Inc,CDNS,45411479552
Cars Inc,CARS,903365440
Carsales Ltd,CAR.AX,4229275051
"Cass Information Systems, Inc",CASS,520582624
Catena Media,CTM.ST,364410697.3
cBrain,CBRAIN.CO,711217304.5
"Ceridian HCM Holding, Inc",CDAY,9549745152
"CGI, Inc",GIB,19915968512
ChannelAdvisor Corp,ECOM,471999808
Chatwork Co,4448.T,186877204.4
China Development Bank Financial Leasing Co,1606.HK,1824569247
China TransInfo Technology Co,002373.SZ,2557493114
Cielo,CIOXY,1746212224
Citrix Systems Inc,CTXS,12753727488
Clavister Holding,CLAV.ST,33693231.13
"Cloudflare, Inc",NET,36413177856
Cognizant Technology Solutions Corp,CTSH,46059417600
Comarch,CMR.WA,370614612.1
CommVault Systems,CVLT,2861617664
Computacenter,CCC.L,4304729385
Computershare,CPU.AX,11325916690
Conduent,CNDT,1158964992
"CoStar Group, Inc",CSGP,25504374784
"Coupa Software, Inc",COUP,7861662208
"Coursera, Inc",COUR,3138910464
Crayon Group Holding,CRAYN.OL,1343410152
Criteo,CRTO,1631949184
CSAM Health Group,CSAM.OL,136621034.7
CyberArk Software Ltd,CYBR,6629323776
Datagroup,D6H.DE,759538164.1
Datamatics Global Services Ltd,DATAMATICS.BO,243957695.1
Delivery Hero,DHER.DE,11693523566
Digimarc Corp,DMRC,492394944
dotDigital Group,DOTD.L,324530897.5
"Dropbox, Inc",DBX,8568217088
"Dun & Bradstreet Holdings, Inc",DNB,7541093376
DXC Technology,DXC,7434575872
eBay Inc,EBAY,31949828096
Econocom Group,ECONB,725902595.9
EHang Holdings Ltd,EH,631336320
Electronic Arts Inc,EA,34702798848
EML Payments Ltd,EML,146446464
Endava,DAVA,7171724288
Enea,ENEA,438694895.1
"EPAM Systems, Inc",EPAM,15942474752
Equiniti Group,EQN,1.21E+11
Esi Group,ESI,5206459904
Esker,ALESK,1086988464
Etsy Inc,ETSY,15364640768
Everi Holdings Inc,EVRI,1791620352
Evertec Inc,EVTC,2906030592
Exasol,EXL,4835717120
"ExlService Holdings, Inc",EXLS,4835717120
Expedia Group Inc,EXPE,28344113152
F-Secure,FSC1V,930804321
"F5, Inc",FFIV,12993115136
FactSet Research Systems Inc,FDS,16847691776
Fair Isaac Corp,FICO,11068441600
FD Technologies,FDP,1255833088
Fidelity National Information Services Inc,FIS,61891772416
Fiserv Inc,FISV,65389023232
Fiverr International Ltd,FVRR,2533105408
"FLEETCOR Technologies, Inc",FLT,19445168128
Focus Home Interactive,ALFOC,279915853.5
"Forrester Research, Inc",FORR,1095100416
Fortinet Inc,FTNT,54374768640
"FriendTimes, Inc",6820,353738127.6
Fujitsu Ltd,6702,30050572175
G5 Entertainment,G5EN,199582774.4
Gaming Innovation Group Inc,GIG.OL,256863046.5
Genpact Ltd,G,7982894592
GFT Technologies,GFT,4389840
Global Dominion Access,DOM,71063683072
Global Payments Inc,GPN,37917483008
Globant,GLOB,10189584384
Glodon Co,2410,9521931602
GMO Payment Gateway Inc,3769,7405883413
GoDaddy Inc,GDDY,13886348288
Gofore,GOFORE,392439106.2
GPI,CPI,32717432
Groupe Open SAPAR:OPN,OPN,113812520
Grupo de Moda Soma SABSP:SOMA3,SOMA3,2345125798
Happiest Minds Technologies Ltd,HAPPSTMNDS,2216923252
HCL Technologies Ltd,HCLTECH,42124961289
"Health Catalyst, Inc",HCAT,1318209280
Hi Sun Technology Ltd,818,351104871
Hinduja Global Solutions Ltd,HGS,621801470.6
home24,H24,222318679.1
HubSpot Inc,HUBS,21638844416
Hyundai Autoever Corp,307950,2892023123
IAC Interactive Corp,IAC,9098366976
IAR Systems Group,IAR-B,192096310.6
Ideagen,IDEA,596805
"Ideanomics, Inc",IDEX,477226304
Iflytek Co Ltd,2230,16627049046
IGG Inc,799,514567958.6
Imdex Ltd,IMD,65912
IndiaMART InterMESH Ltd,INDIAMART,2044899136
Indra Sistemas,IDR,113206224
Info Edge India Ltd,NAUKRI,8241441471
Infomedia Ltd,IFM,188622
"Information Services International-Dentsu, Ltd",4812,2057765421
Infosys Ltd,INFY,99969204224
Inke Ltd,3700,402430389.8
Integrated Research Ltd,IRI,5137803776
InterDigital Inc,IDCC,1901859328
International Business Machines Corp,IBM,1.15E+11
Intuit Inc,INTU,1.40E+11
IRESS Ltd,IRE,742934912
ITOCHU Techno-Solutions Corp,4739,6043620605
IVU Traffic Technologies,IVU,394380448
Izertis,IZER,208112152.1
Jack Henry & Associates Inc,JKHY,14833724416
"Joy Spreader Group, Inc",6988,10389863413
JoyCity Corp,67000,80463378.14
Just Dial Ltd,JUSTDIAL,895704317.2
Just Eat Takeaway,TKWY,7910709151
Kahoot!,KHOTF,1411200640
Kainos Group,KNOS,329636
Kakaku Inc,2371,21722436023
Kakao Corp,35720,35041043386
Kalera,KSLLF,121425904
Kanematsu Electronics Ltd,8096,902128994.9
Kape Technologies,KAPE,1727878178
"KE Holdings, Inc",BEKE,21747040256
Keywords Studios,KWS,2417797658
Kinaxis Inc,KXS,3704170752
Kingdee International Software Group Co Ltd,268,7347189424
Kingsoft Corp Ltd,3888,4091504157
KPIT Technologies Ltd,KPITTECH,2222752911
Kps,KPS,141221200
Kuaishou Technology,1024,38108679641
