S/N,Companies,Annual Report,ESG Risk Score,ESG Risk Rating,Additional Notes
1,"17 Education & Technology Group, Inc",,27,Medium ESG Risk,
2,24SevenOffice Group,https://mb.cision.com/Main/16552/3327450/1402938.pdf,24.6,Medium ESG Risk,
3,2CRSI SA,,24.2,Medium ESG Risk,
4,"2U, Inc",https://s26.q4cdn.com/441000616/files/doc_financials/2020/ar/2U-2020-ESG-Report-FINAL.pdf,19.8,Low ESG Risk,
5,"360 Security Technology, Inc.",,19.5,Low ESG Risk,
6,A Holdings Corp.,,26.9,Medium ESG Risk,
7,A10 Networks Inc,,24.2,Medium ESG Risk,
8,Absolute Software Corp,https://www.absolute.com/media/5595/abt-esg-statement.pdf,24.1,Medium ESG Risk,
9,Accenture,https://www.accenture.com/_acnmedia/PDF-155/Accenture-India-A4-CCReportFY20-v1-9.pdf,9.7,Negligible ESG Risk,
10,"Accolade, Inc.",,25.4,Medium ESG Risk,
11,"ACI Worldwide, Inc",https://www.aciworldwide.com/wp-content/uploads/2021/04/ACI-SustainabilityReport.pdf,20.8,Medium ESG Risk,
12,"Activision Blizzard, Inc",https://ourcommitments.activisionblizzard.com/content/dam/atvi/activisionblizzard/ab-touchui/our-commitments/FC_Activision_ESG_Report_2020_V27.pdf,19.2,Low ESG Risk,
13,"Actoz Soft Co., Ltd.",,21,Medium ESG Risk,
14,ad pepper media International NV,,29.9,Medium ESG Risk,
15,Addcn Technology Co Ltd,,26.2,Medium ESG Risk,
16,Addnode Group AB,,24.7,Medium ESG Risk,
17,adesso,https://www.adesso-group.de/adesso-group-de/investor-relations/veroeffentlichungen/finanzberichte/2020/adesso-annual-report-2020-en.pdf,25.2,Medium ESG Risk,
18,Adevinta ASA,,22.1,Medium ESG Risk,
19,Admicom Oyj,,25.4,Medium ESG Risk,
20,"Adobe, Inc",https://www.adobe.com/content/dam/cc/en/corporate-responsibility/pdfs/Adobe-CSR-Report-2020.pdf,10.8,Low ESG Risk,
21,Adyen,https://www.adyen.com/investor-relations/annual-report-2020,17.5,Low ESG Risk,
22,"Affirm Holdings, Inc",https://investors.affirm.com/static-files/6d33b92f-9cc3-4c7b-a7d1-9bda901824a9,23.9,Medium ESG Risk,
23,Affle Holdings Pte Ltd.,,19.6,Low ESG Risk,
24,"AfreecaTV Co., Ltd.",,27.6,Medium ESG Risk,
25,Afterpay Ltd,https://afterpay-corporate.yourcreative.com.au/wp-content/uploads/2021/08/APT-FY21-Annual-Report.pdf,19.7,Low ESG Risk,
26,Agile Content SA,,29.4,Medium ESG Risk,
27,"Agora, Inc. (China)",,24.4,Medium ESG Risk,
28,"AhnLab, Inc.",,26.1,Medium ESG Risk,
29,"AI inside, Inc.",,25.1,Medium ESG Risk,
30,"Airbnb, Inc.",,25.3,Medium ESG Risk,
31,Airtificial Intelligence Structures SA,,22.5,Medium ESG Risk,
32,Akamai Technologies Inc,https://www.akamai.com/resources/research-paper/akamai-sustainability-report-2021,19.9,Low ESG Risk,
33,Akatsuki Inc,,21.8,Medium ESG Risk,
34,Al Moammar Information Systems Co.,,28.4,Medium ESG Risk,
35,"Alarm.Com Holdings, Inc.",,27.1,Medium ESG Risk,
36,Alibaba Group Holding Ltd,http://csr.alibaba.com/Uploads/file/20181120/5bf385982121c.pdf,28.2,Medium ESG Risk,
37,"Alight, Inc",https://api.alight-energy.com/app//uploads/Alight-Sustainability-Report-2019.pdf,23,Medium ESG Risk,
38,"Alkami Technology, Inc.",,19.8,Low ESG Risk,
39,All For One Group AG,,23.8,Medium ESG Risk,
40,Allegro.eu SA,,22.5,Medium ESG Risk,
41,Allgeier SE,,24.5,Medium ESG Risk,
42,Alliance Data Systems Corp,https://s23.q4cdn.com/525801907/files/doc_downloads/2021/06/ADS-2020-ESG-Performance-Report.pdf,17.9,Low ESG Risk,
43,AlmavivA The Italian Innovation Company SpA,,21.8,Medium ESG Risk,
44,Alpha Systems Inc,https://links.sgx.com/FileOpen/Sustainability%20Report%20FY2019.ashx?App=Announcement&FileID=634366,22.4,Medium ESG Risk,
45,Alphabet Inc,,24.3,Medium ESG Risk,
46,"Altair Engineering, Inc.",,20.4,Medium ESG Risk,
47,Alten SA,,17.5,Low ESG Risk,
48,"Alteryx, Inc.",,26.4,Medium ESG Risk,
49,"Altia Consultores, S.A.",,23.3,Medium ESG Risk,
50,Altium Ltd.,,17.6,Low ESG Risk,
51,Amadeus IT Group,https://corporate.amadeus.com/documents/en/resources/corporate-information/corporate-documents/global-reports/2020/5-social-responsibility.pdf,15.2,Low ESG Risk,
52,Amaggi Luxembourg International SARL,https://www.amaggi.com.br/wp-content/uploads/2021/08/Amaggi_RS2020_EN.pdf,22.1,Medium ESG Risk,
53,Amdocs Ltd,https://www.amdocs.com/sites/default/files/2021-12/Amdocs-CSR-Report-Dec21.pdf,14,Low ESG Risk,
54,American Software Inc,,23.5,Medium ESG Risk,
55,American Well Corp.,,27.3,Medium ESG Risk,
56,"Anaplan, Inc.",,20.1,Medium ESG Risk,
57,Andes Technology Corp,http://www.andestech.com/wp-content/uploads/108%E5%B9%B4%E5%A0%B1-V2-0610-final%E5%90%ABFR.pdf,24.8,Medium ESG Risk,
58,"Angi, Inc.",,32.4,High ESG Risk,
59,Ansys Inc,https://s24.q4cdn.com/308583981/files/doc_downloads/crr/2021/2020-Ansys-Corporate-Responsibility-Report.pdf,13.2,Low ESG Risk,
60,Appen Ltd,https://resources.appen.com/wp-content/uploads/2021/02/Appen-2020-Annual-Report.pdf,16.6,Low ESG Risk,
61,"AppFolio, Inc.",,24.7,Medium ESG Risk,
62,Appian Corp.,,22.1,Medium ESG Risk,
63,Aptitude Software Group,https://www.aptitudesoftware.com/wp-content/uploads/Annual-Report-2020.pdf,21.9,Medium ESG Risk,
64,"Arches Buyer, Inc.",,26.1,Medium ESG Risk,
65,"Archosaur Games, Inc.",,26.9,Medium ESG Risk,
66,Arco Platform Ltd,https://api.mziq.com/mzfilemanager/v2/d/c20feaed-44d2-4c19-ac46-d1d9426b68eb/a0ad4c68-7d26-3b59-06a3-dde0b3e3a292?origin=2,27.2,Medium ESG Risk,
67,"ARGO GRAPHICS, Inc.",,24.7,Medium ESG Risk,
68,"Asana, Inc.",,19.9,Low ESG Risk,
69,AsiaInfo Technologies Ltd,https://doc.irasia.com/listco/hk/asiainfo/annual/2019/ar2019.pdf,23.3,Medium ESG Risk,
70,Aspen Technology Inc,https://www.aspentech.com/en/about-aspentech/environmental-social-and-governance-report,22.3,Medium ESG Risk,
71,Aspire Global,https://www.aspireglobal.com/wp-content/uploads/2021/04/Aspire-Global_SR_2020.pdf,22.9,Medium ESG Risk,
72,Asseco Poland S.A.,,27.3,Medium ESG Risk,
73,Asseco South Eastern Europe SA,,27,Medium ESG Risk,
74,Atea,https://www.atea.com/media/2873/atea-sustainability-report-2021.pdf,19.2,Low ESG Risk,
75,Athena BidCo GmbH,,24.3,Medium ESG Risk,
76,Atlassian Corp,https://www.atlassian.com/company/corporate-social-responsibility/report,19,Low ESG Risk,
77,Atos,https://atos.net/content/investors-documents/ir-2020/atos-integrated-report-2020-en.pdf,10.2,Low ESG Risk,
78,ATOSS Software AG,,22.4,Medium ESG Risk,
79,Aubay SA,,22.4,Medium ESG Risk,
80,Audinate Group Ltd,https://investor.audinate.com/FormBuilder/_Resource/_module/U31UphySGkWm4tEdvC_Xbw/file/AD8-2020-Annual-Report.pdf,25,Medium ESG Risk,
81,Auto Trader Group PLC,,20.8,Medium ESG Risk,
82,Autodesk Inc,https://plc.autotrader.co.uk/media/2269/aut-ar2021-web.pdf,15.5,Low ESG Risk,
83,AutoForm Engineering GmbH,,23.3,Medium ESG Risk,
84,Autohome Inc.,,24,Medium ESG Risk,
85,Automatic Data Processing Inc,https://sustainability.adp.com/,14.2,Low ESG Risk,
86,"Avalara, Inc.",,22.6,Medium ESG Risk,
87,Avaloq Group,https://www.avaloq.com/documents/20143/83553/Avaloq+CSR+report+2019.pdf,14.1,Low ESG Risk,
88,Avast,https://investors.avast.com/media/1902/avast-plc-fy-results-24-feb-final.pdf,16.3,Low ESG Risk,
89,Avega Group AB,,15.2,Low ESG Risk,
90,AVEVA Group,https://www.aveva.com/content/dam/aveva/documents/reports/AVEVA-Sustainability-Report-2021.pdf.coredownload.inline.pdf,17.2,Low ESG Risk,
91,Axway Software,https://investors.axway.com/sites/default/files/2021/AXWAY_2020_COP_UN_Global_compact_09072021_VE_0.pdf,21.9,Medium ESG Risk,
92,Azeus Systems Holdings Ltd,https://www.azeus.com/wp-content/uploads/2020/08/Azeus_SR20_310820.pdf,23.6,Medium ESG Risk,
93,B3 Consulting Group AB,,24.7,Medium ESG Risk,
94,"Baidu, Inc.",,20.7,Medium ESG Risk,
95,BAIOO Family Interactive Ltd,http://www.baitianinfo.com/uploadFile/2021042201854.pdf,18.6,Low ESG Risk,
96,Bambuser AB,,25.2,Medium ESG Risk,
97,BANDAI NAMCO Holdings Inc,https://www.bandainamco.co.jp/cgi-bin/releases/index.cgi/file/view/10440?entry_id=7253,17.5,Low ESG Risk,
98,"Bandwidth, Inc",https://investors.bandwidth.com/static-files/8d5201da-8846-4db5-a9b2-4ff8b2530972,23.6,Medium ESG Risk,
99,Baozun Inc,https://baozuninc.gcs-web.com/static-files/4361cd67-2f7c-4e59-865a-5839070ca71c,24,Medium ESG Risk,
100,"BASE, Inc. (Japan)",,26.3,Medium ESG Risk,
101,Basware,https://investors.basware.com/~/media/Files/B/Basware-IR-V3/documents/en/reports/2021/annual-report-2020.pdf,22.3,Medium ESG Risk,
102,"Be Think, Solve, Execute S.p.A",,21.1,Medium ESG Risk,
103,Bechtle,https://www.bechtle.com/dam/jcr:8b2751e9-aeaa-42fe-889b-fbc6d74aa480/bechtle-sustainability-report-2021-en.pdf,16.2,Low ESG Risk,
104,"Beijing E-hualu Information Technology Co., Ltd.",,27.2,Medium ESG Risk,
105,"Beijing Jetsen Technology Co., Ltd.",,31,High ESG Risk,
106,"Beijing Shiji Information Technology Co., Ltd. 
SHE:002153",,22.3,Medium ESG Risk,
107,"Beijing Sinnet Technology Co., Ltd.",,28.8,Medium ESG Risk,
108,Beijing Thunisoft Corp. Ltd.,,25.4,Medium ESG Risk,
109,"Beijing Ultrapower Software Co., Ltd.",,29.5,Medium ESG Risk,
110,"Beijing United Information Technology Co., Lt",,26.6,Medium ESG Risk,
111,"Benefitfocus, Inc",https://www.benefitfocus.com/sites/default/files/2021-03/Benefitfocus-Sustainability-Report.pdf,30.1,High ESG Risk,
112,Bengo4.com Inc,,28.6,Medium ESG Risk,
113,"Bentley Systems, Inc.",,16.3,Low ESG Risk,
114,Beta Systems Software AG,,25.1,Medium ESG Risk,
115,Better Collective,https://bettercollective.com/wp-content/uploads/2021/03/Sustainability_report_2020.pdf,20.8,Medium ESG Risk,
116,"BigCommerce Holdings, Inc.",,22.1,Medium ESG Risk,
117,"Bilibili, Inc",https://ir.bilibili.com/system/files-encrypted/nasdaq_kms/assets/2021/07/29/1-59-22/Bilibili%202020%20Environmental%2C%20Social%20and%20Governance%20Report.pdf,30.7,High ESG Risk,
118,"Bill.com Holdings, Inc.",,24.6,Medium ESG Risk,
119,BIMobject,https://investors.bimobject.com/media/2lhnolk1/bimobject-annual-report-2020-web.pdf,28.2,Medium ESG Risk,
120,Birlasoft Ltd,https://www.birlasoft.com/sites/default/files/resources/downloads/investors/annual-corporate-sustainability-report-2020-21.pdf,20.6,Medium ESG Risk,
121,Bittium,https://mb.cision.com/Public/13623/3310704/a94fc14d807c2dfc.pdf,24.2,Medium ESG Risk,
122,Bittnet Systems SA,,28.3,Medium ESG Risk,
123,"Black Knight, Inc",https://www.blackknightinc.com/wp-content/uploads/2020/04/2019_Sustainability_Report.pdf,18,Low ESG Risk,
124,"Blackbaud, Inc",https://www.blackbaud.com/docs/default-source/default-document-library/2020-social-responsibility-report.pdf,18.5,Low ESG Risk,
125,BlackBerry Ltd,https://www.blackberry.com/content/dam/bbCompany/Desktop/Global/PDF/corporate-responsibility/corporate-responsibility-report-fy15-fy16.pdf,14,Low ESG Risk,
126,"Blackboard, Inc.",,21.4,Medium ESG Risk,
127,"BlackLine, Inc",https://www.blacklinesafety.com/hubfs/Website/Blackline%20Safety_%202021%20ESG%20Report.pdf?hsLang=en,22.7,Medium ESG Risk,
128,"Block, Inc",https://investors.hrblock.com/static-files/1022df11-0afd-4682-8799-e816addd0263,18.8,Low ESG Risk,
129,"Blucora, Inc.",,27.4,Medium ESG Risk,
130,Blue Prism Group,https://investors.blueprism.com/sites/blueprism-ir-v2/files/Annual%20Report/annual-report-2021.pdf,26.9,Medium ESG Risk,
131,"Blue Yonder Group, Inc.",,16.6,Low ESG Risk,
132,"BMC Software, Inc",https://www.bmcfond.dk/media/1951/bmc-sustainability-report-2018.pdf,9.9,Neligible ESG Risk,
133,Bmit Technologies,https://www.bmit.com.mt/wp-content/uploads/2021/05/Annual-Report-2020-web.pdf,23.7,Medium ESG Risk,
