,Companies,ESG Risk Score,ESG Risk Rating,Opportunities in Clean Tech Sentiment Score,Carbon Emissions Sentiment Score,Water Stress Sentiment Score,Electronic Waste Sentiment Score,Toxic Emissions & Waste Sentiment Score,Human Capital Development Sentiment Score,Privacy and Data Security Sentiment Score,Labor Management Sentiment Score,Governance Sentiment Score,Ticker,Market Capitalisation,Page Count,Sentence Count,Word Count
0,24SevenOffice Group,24.6,Medium ESG Risk,0.3579583333333334,0.0,0.0,0.0,0.0,0.4717130434782608,0.3755888888888889,0.21840499999999996,0.3307858585858586,719.F,4.0763217800884955e-05,0.12359550561797752,0.0557035064358633,0.05567025033759219
1,"2U, Inc",19.8,Low ESG Risk,0.22618,-0.0772,-0.0772,-0.0772,0.0,0.5632571428571428,0.4062555555555556,0.27557777777777775,0.3903387096774194,TWOU,0.00042803692743362834,0.10674157303370786,0.03462050599201065,0.03524592292510647
2,Absolute Software Corp,24.1,Medium ESG Risk,-0.27905,-0.2294,-0.4215,-0.4215,0.0,0.0,0.23141111111111112,0.8271,0.4889428571428572,ABST,0.0001853460814159292,0.0056179775280898875,0.004216600088770528,0.0030772826425677783
3,Accenture,9.7,Negligible ESG Risk,0.6329684210526314,0.4531076923076923,-0.4215,0.7447250000000001,0.0,0.610264705882353,0.38126666666666664,0.5186047619047619,0.60088,ACN,0.09601769911504425,0.042134831460674156,0.033288948069241014,0.030448218551989197
4,"ACI Worldwide, Inc",20.8,Medium ESG Risk,0.3999,0.3539166666666667,0.47024,0.17722499999999997,0.0,0.6781999999999999,0.29073658536585373,0.23224375000000003,0.26388,ACIW,0.0013578570761061948,0.10955056179775281,0.033288948069241014,0.03190246182611405
5,"Activision Blizzard, Inc",19.2,Low ESG Risk,0.5715653846153846,0.4268428571428572,0.2621666666666667,0.1956,0.0,0.6236714285714287,0.3179156862745098,0.2883058823529412,0.41309444444444443,ATVI,0.027623099582300886,0.10674157303370786,0.0723479804704838,0.07539991690038433
6,adesso,25.2,Medium ESG Risk,0.4111600000000001,0.0,0.3291,0.34921428571428564,0.0,0.31582000000000005,0.21233194444444442,0.25428280542986437,0.31328660968660943,ADN1.DE,0.0005864866486725664,0.46629213483146065,0.40523746116289394,0.36854679547107094
7,"Adobe, Inc",10.8,Low ESG Risk,0.7118281250000001,0.7217862068965518,-0.09835,0.1826857142857143,0.0,0.5894777777777778,0.4974565217391304,0.3401799999999999,0.5440955555555556,ADBE,0.09469026548672567,0.07303370786516854,0.03417665335108744,0.03782330944219383
8,Adyen,17.5,Low ESG Risk,0.4231714285714286,0.20236891891891876,0.042239999999999986,0.33949999999999997,0.0,0.2031659090909092,0.13412857142857146,0.15783685714285706,0.17715722460658095,ADYEY,0.026012182654867256,0.5,0.4056813138038171,0.3771943492261348
9,"Affirm Holdings, Inc",23.9,Medium ESG Risk,0.4711151162790697,0.0,0.39909999999999995,0.8834,0.0,0.38118863636363637,0.1659252212389381,0.29403225806451594,0.2811531590413944,AFRM,0.004871011228318584,0.550561797752809,0.5150909897913892,0.5522034382465981
10,Akamai Technologies Inc,19.9,Low ESG Risk,0.6337913907284767,0.3516907894736841,0.11937272727272727,0.452362962962963,0.5609999999999999,0.544095,0.4342607142857142,0.616835,0.46556,AKAM,0.008496426138053098,0.0898876404494382,0.06480248557478917,0.0534434403240885
11,Alibaba Group Holding Ltd,28.2,Medium ESG Risk,0.6609152941176469,0.33305862068965514,0.6658966666666668,0.0,0.6439666666666666,0.3831523809523809,0.566850955414013,0.5380626984126985,0.496190410958904,AHLA.DE,0.1336283185840708,0.2640449438202247,0.12694185530403906,0.16783525501194557
12,"Alight, Inc",23.0,Medium ESG Risk,0.4660852941176472,0.28141136363636354,-0.1531,0.24604782608695655,-0.1531,0.14402941176470588,0.529615,0.44505000000000006,0.39457901234567905,ALIT,0.0020890651185840707,0.15168539325842698,0.06435863293386596,0.06063675080502753
13,Amadeus IT Group,15.2,Low ESG Risk,0.5751333333333334,0.0,0.0,0.0,0.0,0.6855625000000001,0.6116125,0.4770666666666666,0.5056875000000001,AMS.MC,0.01254733645619469,0.02247191011235955,0.02130492676431425,0.017782019320660643
14,Amdocs Ltd,14.0,Low ESG Risk,0.5514057142857143,0.5098675324675324,0.55755,0.17683157894736842,0.0,0.46745238095238095,0.5809734374999997,0.5156537878787878,0.47814880952380917,DOX,0.00452097857699115,0.21348314606741572,0.12960497114957834,0.1517801495793082
15,Andes Technology Corp,24.8,Medium ESG Risk,0.3009970588235294,-0.11249333333333333,-0.08025000000000002,0.42747777777777785,0.0,0.42140714285714276,0.27456792452830203,0.2809416216216215,0.3434135416666664,6533.TW,0.0003063273681858407,0.648876404494382,0.3559698180204172,0.3880946816245975
16,Ansys Inc,13.2,Low ESG Risk,0.6679804878048781,0.5154827586206896,-0.09759999999999999,0.452675,0.6808,0.49936315789473684,0.37447205882352935,0.20098214285714291,0.4784948717948718,ANSS,0.01197994998938053,0.09550561797752809,0.06657789613848203,0.05963046639659292
17,Appen Ltd,16.6,Low ESG Risk,0.4930673684210525,0.3327628571428572,0.3275666666666667,0.7726600000000001,0.0,0.3887255952380953,0.3259848739495797,0.28750025839793286,0.3109380084151475,APPEF,0.0002942653734513274,0.39325842696629215,0.5137594318686196,0.5084982341331671
18,Aptitude Software Group,21.9,Medium ESG Risk,0.5538750000000001,0.33302500000000007,0.6562666666666667,0.4712133333333335,0.0,0.48070158730158735,0.26370471698113207,0.43636666666666646,0.4504878296146045,APTD.L,0.00010595370995575221,0.38764044943820225,0.3715046604527297,0.4167835255011946
19,Arco Platform Ltd,27.2,Medium ESG Risk,0.79701,0.0258,0.0,0.7238399999999999,0.6938,0.5834857142857144,0.7156062499999999,0.6830714285714284,0.6251039999999998,ARCE,0.0005582002407079646,0.14887640449438203,0.03550821127385708,0.03773241923756103
20,AsiaInfo Technologies Ltd,23.3,Medium ESG Risk,0.5262418604651163,0.03778214285714284,-0.148725,0.19207500000000002,-0.1459666666666667,0.4229781512605044,0.4145511415525116,0.39981159874608124,0.38723783185840654,1675.HK,0.0007113361685840708,0.6601123595505618,0.3948069241011984,0.45792432741248573
21,Aspen Technology Inc,22.3,Medium ESG Risk,0.6135119047619046,0.5676229166666664,0.46950000000000003,0.4346181818181819,0.61134,0.6320333333333333,0.6031354838709677,0.4846130434782609,0.6007214285714285,AZPN,0.004949506265486726,0.07584269662921349,0.04016866400355082,0.03712215643502649
22,Aspire Global,22.9,Medium ESG Risk,0.32070740740740744,0.38902903225806457,0.0,0.21261666666666668,0.0,0.31553333333333333,0.5735211764705879,0.44812972972972975,0.5444389830508474,ASPIRE.ST,0.00023666836707964602,0.11235955056179775,0.07523302263648468,0.07746442297704373
23,Atea,19.2,Low ESG Risk,0.35040000000000004,0.2903706293706293,0.9317,0.06735000000000002,0.9317,0.39971904761904764,0.38790156249999985,0.35295306122448983,0.3187887096774194,ATEA.OL,0.0007119514809734513,0.16853932584269662,0.08854860186418109,0.07488703645995637
24,Atlassian Corp,19.0,Low ESG Risk,0.3735428571428571,0.2136375,0.0,0.09423636363636363,0.0,0.3016047619047618,0.4363043956043956,0.06201333333333333,0.3363269230769231,TEAM,0.032860217996460175,0.17134831460674158,0.06813138038171328,0.05825412901215332
25,Atos,10.2,Low ESG Risk,0.5707094594594595,0.5155846491228072,0.28453333333333336,0.2955,0.0,0.43652142857142856,0.4700695906432745,0.4618545454545456,0.3352008196721311,ATO.PA,0.0012049766199115045,0.25280898876404495,0.12472259209942299,0.1252531941414771
26,Autodesk Inc,15.5,Low ESG Risk,0.47197424242424235,0.19346782178217814,0.47733333333333333,0.28926750000000007,0.0,0.48215697674418584,0.32141715976331336,0.2838697612732096,0.3427108853410739,ADSK,0.019689452063716813,0.5056179775280899,0.6040834442964935,0.565713617949517
27,Automatic Data Processing Inc,14.2,Low ESG Risk,0.5718905660377358,0.5447346153846154,0.24695,0.26458461538461536,0.0,0.5478413793103447,0.39246646341463426,0.44209882352941177,0.4637213114754097,ADP,0.04424778761061947,0.14325842696629212,0.11362627607634265,0.10549755894878986
28,Avast,16.3,Low ESG Risk,0.48933076923076924,-0.021866666666666656,0.0,0.562048275862069,0.0,0.5360266666666667,0.3719045045045046,0.2728860465116277,0.3378727659574468,AVST.L,0.0033944910955752213,0.21910112359550563,0.1870838881491345,0.16371273501610056
29,AVEVA Group,17.2,Low ESG Risk,0.6850978494623657,0.40892893081761006,0.58955,0.7749833333333332,0.19073333333333334,0.48682812499999994,0.5147301587301588,0.3759780487804878,0.4119719101123597,AVV.L,0.004247014747787611,0.12359550561797752,0.08699511762094984,0.08616391399189778
30,Axway Software,21.9,Medium ESG Risk,0.4140777777777778,0.21555357142857134,0.019722222222222214,-0.09744666666666664,0.0,0.6024034482758622,0.5782650943396228,0.47752982456140347,0.5809174698795182,AXW.PA,0.0001742145907079646,0.1544943820224719,0.1342654238792721,0.1463202451438662
31,Azeus Systems Holdings Ltd,23.6,Medium ESG Risk,0.6318533333333334,0.4795828571428572,0.52948,0.0573421052631579,0.0,0.76606,0.5538097560975611,0.47649230769230766,0.5148666666666668,BBW.SI,6.001021101769912e-05,0.07584269662921349,0.05215268530847759,0.05468993455905267
