S/N,Companies,Market Capitalisation
2,24SevenOffice Group,0
4,"2U, Inc",1005538752
8,Absolute Software Corp,5.57E+08
9,Accenture,2.17317E+11
11,"ACI Worldwide, Inc",3.31E+09
12,"Activision Blizzard, Inc",62638608384
17,adesso,1179693184
20,"Adobe, Inc",2.1668E+11
21,Adyen,61991329792
22,"Affirm Holdings, Inc",1.25E+10
25,Afterpay Ltd,0
32,Akamai Technologies Inc,0
36,Alibaba Group Holding Ltd,
37,"Alight, Inc",0
42,Alliance Data Systems Corp,0
44,Alpha Systems Inc,0
51,Amadeus IT Group,
52,Amaggi Luxembourg International SARL,0
53,Amdocs Ltd,10286300160
57,Andes Technology Corp,0
59,Ansys Inc,27838941184
60,Appen Ltd,0
63,Aptitude Software Group,180572800
66,Arco Platform Ltd,0
69,AsiaInfo Technologies Ltd,0
70,Aspen Technology Inc,0
71,Aspire Global,516678368
74,Atea,
76,Atlassian Corp,75790213120
77,Atos,149416320
80,Audinate Group Ltd,0
82,Autodesk Inc,46535286784
85,Automatic Data Processing Inc,0
87,Avaloq Group,0
88,Avast,7994845696
90,AVEVA Group,9482545152
91,Axway Software,355442816
92,Azeus Systems Holdings Ltd,0
95,BAIOO Family Interactive Ltd,0
97,BANDAI NAMCO Holdings Inc,0
98,"Bandwidth, Inc",0
99,Baozun Inc,0
101,Basware,313695200
103,Bechtle,
111,"Benefitfocus, Inc",0
115,Better Collective,9860264960
117,"Bilibili, Inc",0
119,BIMobject,64242204
120,Birlasoft Ltd,0
121,Bittium,210286544
123,"Black Knight, Inc",0
124,"Blackbaud, Inc",0
125,BlackBerry Ltd,0
127,"BlackLine, Inc",0
128,"Block, Inc",0
130,Blue Prism Group,
132,"BMC Software, Inc",0
133,Bmit Technologies,0
134,Booking Holdings Inc,0
135,Booz Allen Hamilton Holding Corp,0
137,Bouvet,7141165056
139,BrainChip Holdings Ltd,0
140,Bravura Solutions Ltd,0
144,"BTRS Holdings, Inc",0
148,Bytes Technology Group,1197409920
151,Cadence Design Systems Inc,0
160,Cars Inc,0
161,Carsales Ltd,0
162,"Cass Information Systems, Inc",544012224
163,Catena Media,407124000
164,cBrain,4670641664
170,"Ceridian HCM Holding, Inc",0
171,"CGI, Inc",0
174,Chanjet Information Technology Co Ltd,0
175,ChannelAdvisor Corp,0
176,Chatwork Co,0
180,China Development Bank Financial Leasing Co,0
183,China TransInfo Technology Co,0
185,Cielo,
186,Cision Ltd,0
187,Citrix Systems Inc,0
189,Clavister Holding,32267846
192,"Cloudera, Inc",0
193,"Cloudflare, Inc",0
195,CMGE Technology Group Ltd,0
196,Coforge Ltd,0
197,Cognizant Technology Solutions Corp,0
203,Comarch,
204,CommVault Systems,2994472704
205,Computacenter,3296391936
209,Computershare,11537529856
212,Conduent,1057586112
219,CoreLogic Inc,0
222,"CoStar Group, Inc",26452813824
224,"Coupa Software, Inc",0
225,"Coursera, Inc",0
226,Crayon Group Holding,4839108096
227,Criteo,
230,CSAM Health Group,1203528832
232,CWT International Ltd,0
234,CyberArk Software Ltd,0
236,Cyient Ltd,0
241,Dassault Systems,0
242,Data Respons,0
243,Data#3 Ltd,45835149312
245,Datagroup,682308928
246,Datamatics Global Services Ltd,0
248,Delivery Hero,13155391488
250,Devoteam,0
253,Digia,
254,Digimarc Corp,0
261,DKV MOBILITY SERVICES HOLDING,0
265,Domain Holdings Australia Ltd,0
269,dotDigital Group,352559200
273,"Dropbox, Inc",0
274,DTS Corp,936222016
276,"Dun & Bradstreet Holdings, Inc",4186767616
277,DXC Technology,7761394176
281,eBay Inc,35306622976
283,Econocom Group,672398720
284,Edenred,12418153472
287,EHang Holdings Ltd,0
289,Electronic Arts Inc,0
290,Embracer Group,
291,EML Payments Ltd,0
294,Endava,8237917184
296,Enea,354908832
301,"EPAM Systems, Inc",0
303,Equiniti Group,0
304,Esi Group,400226400
305,Esker,1295010944
306,Etsy Inc,16508154880
312,Everi Holdings Inc,1894174464
314,Evertec Inc,0
317,Exasol,
319,"ExlService Holdings, Inc",0
320,Expedia Group Inc,0
323,F-Secure,
324,"F5, Inc",13072477184
325,Fabasoft,
326,FactSet Research Systems Inc,0
327,Fair Isaac Corp,0
331,FD Technologies,745852352
332,FDM Group Holdings,0
333,Fidelity National Information Services Inc,0
335,Fiserv Inc,68228370432
337,Fiverr International Ltd,0
338,"FLEETCOR Technologies, Inc",0
339,Flexential Corp,0
341,Focus Home Interactive,257918304
343,FormPipe Software,
345,"Forrester Research, Inc",0
346,Fortinet Inc,0
350,"FriendTimes, Inc",0
351,Frontier Developments,519973056
354,Fujitsu Ltd,0
357,Fyber,0
359,G5 Entertainment,185976000
361,Gaming Innovation Group Inc,0
364,GB Group,1390303488
366,Genpact Ltd,
367,GFT Technologies,1058301184
370,GK Software,246168960
371,Global Dominion Access,629010304
372,Global Payments Inc,40444149760
373,Globant,10747284480
374,Glodon Co,0
377,GMO Payment Gateway Inc,0
378,GoDaddy Inc,0
379,Gofore,344397504
381,GPI,2874753280
382,"Grace Technology, Inc",0
387,Groupe Open SAPAR:OPN,0
388,Grupo de Moda Soma SABSP:SOMA3,0
396,Happiest Minds Technologies Ltd,0
399,HCL Technologies Ltd,0
401,"Health Catalyst, Inc",0
403,HengTen Networks Group Ltd,0
405,Hi Sun Technology Ltd,0
408,Hinduja Global Solutions Ltd,0
412,home24,213498384
415,HubSpot Inc,22452207616
420,Hyundai Autoever Corp,0
423,IAC Interactive Corp,0
424,IAR Systems Group,
425,ICT Group,0
426,Ideagen,640239808
427,"Ideanomics, Inc",0
428,iDreamSky Technology Holdings Ltd,0
430,iFAST Corp Ltd,0
431,Iflytek Co Ltd,0
433,IGG Inc,540116992
434,Imdex Ltd,0
435,IndiaMART InterMESH Ltd,0
436,Indra Sistemas,1606570112
438,Info Edge India Ltd,0
441,Infomedia Ltd,0
444,"Information Services International-Dentsu, Ltd",0
445,Infosys Ltd,
446,Infotel,358659392
448,Inke Ltd,
453,Integrated Research Ltd,0
455,InterDigital Inc,1935475072
456,International Business Machines Corp,0
457,International Games System Co Ltd,0
459,Intuit Inc,1.40465E+11
461,Iomart Group,202036176
464,IRESS Ltd,0
466,Itera,918265408
467,ITOCHU Techno-Solutions Corp,0
468,IVU Traffic Technologies,407571968
469,Izertis,185659552
470,Jack Henry & Associates Inc,15085853696
473,"Joy Spreader Group, Inc",0
474,JoyCity Corp,0
477,Just Dial Ltd,0
478,Just Eat Takeaway,
480,Kahoot!,1471218048
481,Kainos Group,3164367360
482,Kakaku Inc,0
483,Kakao Corp,0
484,Kakao Games Corp,0
485,Kalera,122388928
488,Kanematsu Electronics Ltd,0
489,Kape Technologies,1323031808
490,"KE Holdings, Inc",0
491,Keywords Studios,2593377280
493,Kinaxis Inc,0
495,Kingdee International Software Group Co Ltd,0
496,Kingsoft Corp Ltd,0
502,KPIT Technologies Ltd,0
503,Kps,141221200
504,Kuaishou Technology,45564731392
505,Kunlun Tech Co Ltd,0
506,L&T Technology Services Ltd,16058196992
507,Lakala Payment Co Ltd,0
